ascent rate (m/s)	distance (km)	distance (m)	time (s)	time (min)	time (hrs)
0.5	5.0 5000.0	10000.0	166.7	2.8
1.0	5.0	5000.0	5000.0	83.3	1.4
1.5	5.0	5000.0	3333.3	55.6	0.9
2.0	5.0	5000.0	2500.0	41.7	0.7
2.5	5.0	5000.0	2000.0	33.3	0.6
3.0	5.0	5000.0	1666.7	27.8	0.5
3.5	5.0	5000.0	1428.6	23.8	0.4
4.0	5.0	5000.0	1250.0	20.8	0.3
4.5	5.0	5000.0	1111.1	18.5	0.3
5.0	5.0	5000.0	1000.0	16.7	0.3

ascent rate (m/s)	distance (km)	distance (m)	time (s)	time (min)	time (hrs)
0.5	10.0	10000.0	20000.0	333.3	5.6
1.0	10.0	10000.0	10000.0	166.7	2.8
1.5	10.0	10000.0	6666.7	111.1	1.9
2.0	10.0	10000.0	5000.0	83.3	1.4
2.5	10.0	10000.0	4000.0	66.7	1.1
3.0	10.0	10000.0	3333.3	55.6	0.9
3.5	10.0	10000.0	2857.1	47.6	0.8
4.0	10.0	10000.0	2500.0	41.7	0.7
4.5	10.0	10000.0	2222.2	37.0	0.6
5.0	10.0	10000.0	2000.0	33.3	0.6

ascent rate (m/s)	distance (km)	distance (m)	time (s)	time (min)	time (hrs)
0.5	15.0	15000.0	30000.0	500.0	8.3
1.0	15.0	15000.0	15000.0	250.0	4.2
1.5	15.0	15000.0	10000.0	166.7	2.8
2.0	15.0	15000.0	7500.0	125.0	2.1
2.5	15.0	15000.0	6000.0	100.0	1.7
3.0	15.0	15000.0	5000.0	83.3	1.4
3.5	15.0	15000.0	4285.7	71.4	1.2
4.0	15.0	15000.0	3750.0	62.5	1.0
4.5	15.0	15000.0	3333.3	55.6	0.9
5.0	15.0	15000.0	3000.0	50.0	0.8

ascent rate (m/s)	distance (km)	distance (m)	time (s)	time (min)	time (hrs)
0.5	20.0	20000.0	40000.0	666.7	11.1
1.0	20.0	20000.0	20000.0	333.3	5.6
1.5	20.0	20000.0	13333.3	222.2	3.7
2.0	20.0	20000.0	10000.0	166.7	2.8
2.5	20.0	20000.0	8000.0	133.3	2.2
3.0	20.0	20000.0	6666.7	111.1	1.9
3.5	20.0	20000.0	5714.3	95.2	1.6
4.0	20.0	20000.0	5000.0	83.3	1.4
4.5	20.0	20000.0	4444.4	74.1	1.2
5.0	20.0	20000.0	4000.0	66.7	1.1

ascent rate (m/s)	distance (km)	distance (m)	time (s)	time (min)	time (hrs)
0.5	25.0	25000.0	50000.0	833.3	13.9
1.0	25.0	25000.0	25000.0	416.7	6.9
1.5	25.0	25000.0	16666.7	277.8	4.6
2.0	25.0	25000.0	12500.0	208.3	3.5
2.5	25.0	25000.0	10000.0	166.7	2.8
3.0	25.0	25000.0	8333.3	138.9	2.3
3.5	25.0	25000.0	7142.9	119.0	2.0
4.0	25.0	25000.0	6250.0	104.2	1.7
4.5	25.0	25000.0	5555.6	92.6	1.5
5.0	25.0	25000.0	5000.0	83.3	1.4

ascent rate (m/s)	distance (km)	distance (m)	time (s)	time (min)	time (hrs)
0.5	30.0	30000.0	60000.0	1000.0	16.7
1.0	30.0	30000.0	30000.0	500.0	8.3
1.5	30.0	30000.0	20000.0	333.3	5.6
2.0	30.0	30000.0	15000.0	250.0	4.2
2.5	30.0	30000.0	12000.0	200.0	3.3
3.0	30.0	30000.0	10000.0	166.7	2.8
3.5	30.0	30000.0	8571.4	142.9	2.4
4.0	30.0	30000.0	7500.0	125.0	2.1
4.5	30.0	30000.0	6666.7	111.1	1.9
5.0	30.0	30000.0	6000.0	100.0	1.7
